GENUINE PARTS,40987
GEORGIA-PACIFIC GROUP,
GIANT FOOD CL. A,
GIDDINGS & LEWIS,
GILLETTE CO.,
GOLDEN WEST FINANCIAL,42293
GOODRICH CORPORATION,
GOODYEAR TIRE & RUBBER,42582
GRACE (W.R.) & CO.,
GRAINGER (W.W.) INC.,
GREAT A & P,
GREAT LAKES CHEMICAL,43362
GREAT WESTERN FINANCIAL,
HCA INC.,860730
HALLIBURTON CO.,45012
HANDLEMAN COMPANY,
HARCOURT GENERAL INC.,
HARLAND (J.H.)(OLD),
HARNISCHFEGER INDUS.,
HARRIS CORP.,202058
HARTMARX CORP.(OLD),
HASBRO INC.,46080
HEINZ (H.J.),
HELMERICH & PAYNE (SMALL),
HERCULES,
HERSHEY FOODS,
HEWLETT-PACKARD,
HILTON HOTELS,47580
HOME DEPOT,354950
HOMESTAKE MINING,743872
HONEYWELL,
HONEYWELL INT'L INC.,
HOUSEHOLD INTERNATIONAL,
HOUSTON INDUSTRIES,
IKON OFFICE SOLUTIONS,3370
ITT CORP.,16095
ILLINOIS TOOL WORKS,49826
INCO,
INGERSOLL-RAND,
INLAND STEEL IND. INC.,
INTEL CORP.,50863
INTERGRAPH CORP.,351145
INTERNATIONAL BUS. MACHINES,
INTERNATIONAL FLAV/FRAG,
INTERNATIONAL PAPER,51434
INTERPUBLIC GROUP,51644
JAMES RIVER,53117
JEFFERSON-PILOT,
JOHNSON & JOHNSON,200406
JOHNSON CONTROLS,53669
JOSTENS INC.,54050
K MART,1018199
KB HOME,795266
KELLOGG CO.,55067
KERR-MCGEE,
KEYCORP,
KIMBERLY-CLARK,
KING WORLD PRODUCTIONS,756764
KNIGHT-RIDDER INC.,
KROGER CO.,56873
LILLY (ELI) & CO.,
LIMITED,
LINCOLN NATIONAL,793158
LIZ CLAIBORNE,
LOCKHEED CORP.,
LONGS DRUG STORES,764762
LORAL CORP.,60357
LOTUS DEVELOPMENT,710979
LOUISIANA LAND,
LOUISIANA PACIFIC,
LOWE'S COS.,
LUBY'S CAFETERIAS,
M/A COM,
MBNA CORP.,870517
MCI COMMUNICATIONS,
MALLINCKRODT INC.,
MANOR CARE,1048352
MARRIOTT INT'L.,
MARSH & MCLENNAN,62709
MARTIN MARIETTA(OLD),
MASCO CORP.,62996
MASSEY ENERGY CO. (OLD),
MATTEL,
MAXUS ENERGY,
MAY DEPT. STORES,
MAYTAG CORP.,63541
MCDERMOTT INTERNATIONAL,708819
MCDONALD'S CORP.,
MCDONNELL DOUGLAS,
MCGRAW-HILL,
MEAD CORP.,64394
MEDTRONIC INC.,64670
MELLON BANK CORP.,
MERCANTILE STORES,
MERCK & CO.,64978
MEREDITH CORP.,65011
MERRILL LYNCH,918848
MICRON TECHNOLOGY,723125
MICROSOFT CORP.,789019
MILACRON,
MILLIPORE CORP.,66479
MINN. MINING & MFG.,
MOBIL CORP.,34088
MONSANTO COMPANY,
MOORE CORP. LTD.(OLD),
MORGAN (J.P.) & CO. (OLD2),
MORGAN STANLEY,
MORRISON KNUDSEN,
MORTON INTERNATIONAL,1035972
MOTOROLA INC.,68505
NACCO IND. CL. A,
NBD BANCORP INC.,
NICOR INC.,72020
NIKE INC.,320187
NALCO CHEMICAL,
NATIONAL CITY CORP.,69970
NATIONAL EDUCATION,1456137
NATIONAL SEMICONDUCTOR,70530
NATIONAL SERVICE IND.,
NATIONSBANK,707706
NAVISTAR INTERNATIONAL CORP.,808450
NEW YORK TIMES CL. A,
